mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
5,0,2088,808,1,11,6,3880,600,2,0.0,0.35,0.3,0.0,0.0,0.0,0.0,0.0,False
3,0,808,872,1,15,9,12216,1416,2,0.0,0.35,0.33,0.0,0.0,0.0,0.0,0.0,False
13,7,6200,4264,1,20,17,19080,13536,2,0.0,0.38,0.52,0.0,0.0,0.0,0.0,0.0,False
18,15,632,12576,1,6,1,2600,1800,2,0.0,0.4,0.37,0.0,0.0,0.0,0.0,0.0,False
6,1,4584,1288,1,3,0,2280,1064,2,0.0,0.36,0.37,0.0,0.0,0.0,0.0,0.0,False
7,2,3880,72,1,18,14,14112,224,2,0.0,0.27,0.32,0.0,0.0,0.0,0.0,0.0,False
10,4,6456,488,1,26,20,14112,12576,2,0.0,0.3,0.44,0.0,0.0,0.0,0.0,0.0,False
26,20,9144,8760,1,2,0,872,1352,2,0.0,0.38,0.37,0.0,0.0,0.0,0.0,0.0,False
26,20,6712,17568,1,15,9,7992,5544,2,0.0,0.49,0.39,0.0,0.0,0.0,0.0,0.0,False
18,15,5544,3752,1,6,1,4776,1544,2,0.0,0.33,0.38,0.0,0.0,0.0,0.0,0.0,False
20,17,16992,6968,1,11,6,4008,4584,2,0.0,0.42,0.4,0.0,0.0,0.0,0.0,0.0,False
18,15,13536,9912,1,15,12,11064,6968,2,0.0,0.46,0.44,0.0,0.0,0.0,0.0,0.0,False
20,17,1160,12576,1,18,15,14688,6968,2,0.0,0.43,0.41,0.0,0.0,0.0,0.0,0.0,False
7,2,1320,1480,1,20,17,14112,10296,2,0.0,0.34,0.46,0.0,0.0,0.0,0.0,0.0,False
7,2,6200,1192,1,15,10,8248,1256,2,0.0,0.36,0.32,0.0,0.0,0.0,0.0,0.0,False
10,4,7224,3496,1,20,17,7992,11448,2,0.0,0.42,0.46,0.0,0.0,0.0,0.0,0.0,False
18,14,1928,8248,1,15,9,4264,616,2,0.0,0.38,0.29,0.0,0.0,0.0,0.0,0.0,False
13,8,2280,5992,1,5,0,1224,968,2,0.0,0.39,0.35,0.0,0.0,0.0,0.0,0.0,False
5,0,1032,224,1,7,2,2344,1672,2,0.0,0.27,0.35,0.0,0.0,0.0,0.0,0.0,False
8,2,5736,1480,1,10,4,5736,2728,2,0.0,0.37,0.37,0.0,0.0,0.0,0.0,0.0,False
8,4,4968,1736,1,15,12,3496,1192,2,0.0,0.35,0.3,0.0,0.0,0.0,0.0,0.0,False
18,14,1288,9912,1,7,2,2664,840,2,0.0,0.4,0.33,0.0,0.0,0.0,0.0,0.0,False
8,4,5736,3112,1,7,2,5992,744,2,0.0,0.4,0.36,0.0,0.0,0.0,0.0,0.0,False
10,4,6456,3368,1,4,0,1128,392,2,0.0,0.41,0.3,0.0,0.0,0.0,0.0,0.0,False
26,20,29296,19080,1,13,7,1128,4776,2,0.0,0.56,0.36,0.0,0.0,0.0,0.0,0.0,False
24,20,1608,6200,1,22,19,2344,16992,2,0.0,0.33,0.45,0.0,0.0,0.0,0.0,0.0,False
13,8,1800,6456,1,18,15,9144,12960,2,0.0,0.39,0.47,0.0,0.0,0.0,0.0,0.0,False
20,18,18336,968,1,18,14,3240,6712,2,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,False
6,1,3368,712,1,24,20,7480,12960,2,0.0,0.34,0.42,0.0,0.0,0.0,0.0,0.0,False
18,14,1928,3368,1,8,2,2792,1288,2,0.0,0.3,0.33,0.0,0.0,0.0,0.0,0.0,False
3,0,392,344,1,15,10,4008,616,2,0.0,0.28,0.28,0.0,0.0,0.0,0.0,0.0,False
22,19,14688,6712,1,15,11,11832,2280,2,0.0,0.39,0.35,0.0,0.0,0.0,0.0,0.0,False
8,2,256,1064,1,18,15,4584,8248,2,0.0,0.32,0.36,0.0,0.0,0.0,0.0,0.0,False
3,0,904,600,1,20,18,11832,13536,2,0.0,0.32,0.46,0.0,0.0,0.0,0.0,0.0,False
20,18,10680,15840,1,15,10,6200,1416,2,0.0,0.5,0.31,0.0,0.0,0.0,0.0,0.0,False
7,2,2536,424,1,15,11,11064,3496,2,0.0,0.29,0.35,0.0,0.0,0.0,0.0,0.0,False
15,9,10680,4136,1,20,18,7224,3624,2,0.0,0.37,0.34,0.0,0.0,0.0,0.0,0.0,False
15,9,9912,2984,1,26,20,19080,10680,2,0.0,0.35,0.44,0.0,0.0,0.0,0.0,0.0,False
18,14,14688,6968,1,10,4,136,3112,2,0.0,0.41,0.35,0.0,0.0,0.0,0.0,0.0,False
5,0,3496,744,1,20,18,7224,6200,2,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,False
15,9,1128,7224,1,5,0,1736,776,2,0.0,0.4,0.35,0.0,0.0,0.0,0.0,0.0,False
24,20,27376,18336,1,4,0,208,120,2,0.0,0.54,0.25,0.0,0.0,0.0,0.0,0.0,False
25,20,9912,8248,1,20,18,1992,4584,2,0.0,0.38,0.33,0.0,0.0,0.0,0.0,0.0,False
10,4,7480,2600,1,6,1,1224,600,2,0.0,0.39,0.31,0.0,0.0,0.0,0.0,0.0,False
11,6,5352,2280,1,19,17,5352,12960,2,0.0,0.34,0.46,0.0,0.0,0.0,0.0,0.0,False
15,10,256,2536,1,15,12,552,5544,2,0.0,0.29,0.35,0.0,0.0,0.0,0.0,0.0,False
20,17,4776,11448,1,13,7,6712,2536,2,0.0,0.43,0.34,0.0,0.0,0.0,0.0,0.0,False
19,17,696,1544,1,7,2,5736,696,2,0.0,0.27,0.35,0.0,0.0,0.0,0.0,0.0,False
15,11,1992,5736,1,8,4,808,488,2,0.0,0.37,0.25,0.0,0.0,0.0,0.0,0.0,False
3,0,1992,1352,1,22,19,440,7480,2,0.0,0.39,0.33,0.0,0.0,0.0,0.0,0.0,False
24,20,20616,19848,1,7,2,4584,1800,2,0.0,0.53,0.4,0.0,0.0,0.0,0.0,0.0,False
22,19,6968,1800,1,26,20,15264,7992,2,0.0,0.3,0.4,0.0,0.0,0.0,0.0,0.0,False
15,10,7224,6712,1,7,2,472,1672,2,0.0,0.41,0.34,0.0,0.0,0.0,0.0,0.0,False
20,18,1544,1608,1,15,9,14112,7736,2,0.0,0.29,0.44,0.0,0.0,0.0,0.0,0.0,False
11,6,3112,4776,1,26,20,21384,5544,2,0.0,0.39,0.39,0.0,0.0,0.0,0.0,0.0,False
24,20,19080,1160,1,8,2,5736,1320,2,0.0,0.35,0.36,0.0,0.0,0.0,0.0,0.0,False
6,1,1128,1352,1,15,9,13536,5736,2,0.0,0.35,0.41,0.0,0.0,0.0,0.0,0.0,False
5,0,2280,1192,1,13,7,11448,5160,2,0.0,0.38,0.41,0.0,0.0,0.0,0.0,0.0,False
11,6,3752,256,1,18,15,9912,12216,2,0.0,0.28,0.48,0.0,0.0,0.0,0.0,0.0,False
18,14,14688,12216,1,11,6,7992,504,2,0.0,0.47,0.32,0.0,0.0,0.0,0.0,0.0,False
6,1,2472,224,1,19,17,10680,4008,2,0.0,0.28,0.36,0.0,0.0,0.0,0.0,0.0,False
2,0,2024,1160,1,15,9,8760,776,2,0.0,0.38,0.31,0.0,0.0,0.0,0.0,0.0,False
4,0,1064,872,1,20,17,14688,4008,2,0.0,0.35,0.37,0.0,0.0,0.0,0.0,0.0,False
15,11,11064,5544,1,20,18,8760,10296,2,0.0,0.41,0.42,0.0,0.0,0.0,0.0,0.0,False
15,9,3496,7992,1,18,15,6456,5736,2,0.0,0.39,0.36,0.0,0.0,0.0,0.0,0.0,False
10,4,6968,1192,1,4,0,1608,904,2,0.0,0.33,0.34,0.0,0.0,0.0,0.0,0.0,False
15,11,2856,1928,1,18,15,7224,11448,2,0.0,0.29,0.45,0.0,0.0,0.0,0.0,0.0,False
18,14,15264,8760,1,13,7,4968,104,2,0.0,0.45,0.27,0.0,0.0,0.0,0.0,0.0,False
3,0,392,1064,1,18,15,6712,256,2,0.0,0.35,0.31,0.0,0.0,0.0,0.0,0.0,False
7,2,4264,1320,1,7,2,1480,1800,2,0.0,0.36,0.35,0.0,0.0,0.0,0.0,0.0,False
3,0,2280,1032,1,5,0,4264,344,2,0.0,0.37,0.33,0.0,0.0,0.0,0.0,0.0,False
20,17,6712,13536,1,20,18,15264,12576,2,0.0,0.45,0.48,0.0,0.0,0.0,0.0,0.0,False
26,20,8504,18336,1,3,0,2536,424,2,0.0,0.5,0.34,0.0,0.0,0.0,0.0,0.0,False
8,2,2344,1800,1,5,0,2280,488,2,0.0,0.36,0.33,0.0,0.0,0.0,0.0,0.0,False
20,17,14112,5160,1,15,9,12960,5736,2,0.0,0.38,0.41,0.0,0.0,0.0,0.0,0.0,False
6,1,256,1416,1,25,20,1128,16416,2,0.0,0.33,0.43,0.0,0.0,0.0,0.0,0.0,False
5,0,1224,616,1,8,2,6456,1416,2,0.0,0.33,0.37,0.0,0.0,0.0,0.0,0.0,False
13,8,5352,5160,1,11,6,2280,2792,2,0.0,0.37,0.33,0.0,0.0,0.0,0.0,0.0,False
4,0,3240,208,1,15,11,12960,144,2,0.0,0.31,0.31,0.0,0.0,0.0,0.0,0.0,False
15,11,11448,680,1,26,20,22152,2792,2,0.0,0.32,0.37,0.0,0.0,0.0,0.0,0.0,False
19,17,10680,1800,1,6,1,256,1256,2,0.0,0.33,0.34,0.0,0.0,0.0,0.0,0.0,False
22,19,6456,11064,1,4,0,1608,376,2,0.0,0.41,0.31,0.0,0.0,0.0,0.0,0.0,False
5,0,4264,1064,1,18,14,9912,10680,2,0.0,0.39,0.44,0.0,0.0,0.0,0.0,0.0,False
13,8,3368,5544,1,15,12,11064,6968,2,0.0,0.38,0.44,0.0,0.0,0.0,0.0,0.0,False
