mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,mcs_dl_2,mcs_ul_2,dl_kbps_2,ul_kbps_2,cpu_set_2,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
19,17,13536,6968,"1-3,5-7",3,0,1384,568,"1-3,5-7",0.0,0.32,0.27,0.04,0.0,0.04,0.06,0.05,False
15,10,9912,776,"1-3,5-7",10,4,6968,3112,"1-3,5-7",0.0,0.31,0.25,0.04,0.0,0.04,0.05,0.05,False
2,0,72,904,"1-3,5-7",18,14,7992,9528,"1-3,5-7",0.0,0.34,0.27,0.05,0.0,0.05,0.06,0.05,False
25,20,9144,4776,"1-3,5-7",13,7,11064,1224,"1-3,5-7",0.0,0.28,0.26,0.04,0.0,0.04,0.05,0.05,False
18,14,12960,3624,"1-3,5-7",8,4,3496,208,"1-3,5-7",0.0,0.28,0.21,0.04,0.0,0.04,0.05,0.04,False
15,11,11448,7224,"1-3,5-7",15,11,4584,6200,"1-3,5-7",0.0,0.35,0.32,0.05,0.0,0.05,0.07,0.06,False
25,20,12216,1992,"1-3,5-7",6,1,328,1192,"1-3,5-7",0.0,0.26,0.26,0.04,0.0,0.04,0.05,0.05,False
18,15,2984,1736,"1-3,5-7",20,18,1160,1288,"1-3,5-7",0.0,0.22,0.21,0.03,0.0,0.03,0.04,0.04,False
19,17,5352,7224,"1-3,5-7",15,10,6456,4584,"1-3,5-7",0.0,0.29,0.28,0.04,0.0,0.04,0.06,0.06,False
8,4,3880,1544,"1-3,5-7",2,0,72,424,"1-3,5-7",0.0,0.26,0.23,0.03,0.0,0.03,0.05,0.05,False
24,20,520,776,"1-3,5-7",18,14,1608,3368,"1-3,5-7",0.0,0.24,0.21,0.03,0.0,0.03,0.04,0.04,False
18,14,11832,12960,"1-3,5-7",6,1,1544,1160,"1-3,5-7",0.0,0.36,0.26,0.05,0.0,0.05,0.06,0.05,False
19,17,17568,6968,"1-3,5-7",11,6,7480,392,"1-3,5-7",0.0,0.32,0.25,0.04,0.0,0.04,0.06,0.05,False
26,20,23688,19080,"1-3,5-7",15,9,4264,4008,"1-3,5-7",0.0,0.42,0.26,0.06,0.0,0.06,0.06,0.05,False
18,14,1288,11448,"1-3,5-7",24,20,25456,16416,"1-3,5-7",0.0,0.41,0.33,0.06,0.0,0.06,0.07,0.07,False
15,11,9912,872,"1-3,5-7",8,4,5992,1544,"1-3,5-7",0.0,0.27,0.25,0.04,0.0,0.04,0.05,0.05,False
10,4,6968,1480,"1-3,5-7",15,10,6968,5736,"1-3,5-7",0.0,0.3,0.27,0.04,0.0,0.04,0.06,0.05,False
15,9,11064,5352,"1-3,5-7",18,15,4264,12960,"1-3,5-7",0.0,0.35,0.32,0.05,0.0,0.05,0.07,0.06,False
8,4,1256,2600,"1-3,5-7",22,19,11448,16416,"1-3,5-7",0.0,0.39,0.27,0.05,0.0,0.05,0.06,0.05,False
18,15,328,9912,"1-3,5-7",11,6,1544,2280,"1-3,5-7",0.0,0.3,0.24,0.04,0.0,0.04,0.05,0.05,False
7,2,4968,2088,"1-3,5-7",15,9,8504,2664,"1-3,5-7",0.0,0.3,0.25,0.04,0.0,0.04,0.05,0.05,False
3,0,744,224,"1-3,5-7",20,18,17568,9528,"1-3,5-7",0.0,0.35,0.21,0.05,0.0,0.05,0.05,0.04,False
13,7,3880,3368,"1-3,5-7",5,0,3496,224,"1-3,5-7",0.0,0.26,0.24,0.04,0.0,0.04,0.05,0.05,False
