mcs_dl_1,mcs_ul_1,dl_kbps_1,ul_kbps_1,cpu_set_1,cpu_0,cpu_1,cpu_2,cpu_3,cpu_4,cpu_5,cpu_6,cpu_7,explode
20,18,1992,5160,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
8,4,6968,1480,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
19,17,4008,3368,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
11,6,1928,392,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
8,2,2984,744,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
15,11,4968,5352,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
13,8,5992,256,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
22,19,16992,13536,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
19,17,16416,9912,"1-3,5-7",0.0,0.36,0.05,0.05,0.0,0.02,0.0,0.0,False
18,14,8760,2856,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
20,17,19080,5736,"1-3,5-7",0.0,0.31,0.04,0.04,0.0,0.02,0.0,0.0,False
6,1,4776,1032,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
8,2,6456,1192,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,7992,3880,"1-3,5-7",0.0,0.3,0.04,0.04,0.0,0.02,0.0,0.0,False
2,0,1992,600,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
13,8,6200,4392,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
4,0,256,344,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
15,12,2280,4392,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
22,19,18336,1064,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
13,7,6968,4968,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
26,20,19080,7224,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
3,0,680,568,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
11,6,8504,1128,"1-3,5-7",0.0,0.25,0.03,0.03,0.0,0.02,0.0,0.0,False
5,0,968,1224,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,6456,2280,"1-3,5-7",0.0,0.26,0.04,0.04,0.0,0.02,0.0,0.0,False
2,0,472,1384,"1-3,5-7",0.0,0.27,0.04,0.04,0.0,0.02,0.0,0.0,False
18,14,5544,3112,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
15,10,12960,4968,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
11,6,7480,3624,"1-3,5-7",0.0,0.29,0.04,0.04,0.0,0.02,0.0,0.0,False
15,11,5736,8504,"1-3,5-7",0.0,0.33,0.04,0.04,0.0,0.02,0.0,0.0,False
3,0,744,1000,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
7,2,712,424,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
15,9,7992,136,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
2,0,1064,1320,"1-3,5-7",0.0,0.28,0.04,0.04,0.0,0.02,0.0,0.0,False
18,15,9528,840,"1-3,5-7",0.0,0.23,0.03,0.03,0.0,0.02,0.0,0.0,False
13,8,3368,968,"1-3,5-7",0.0,0.22,0.03,0.03,0.0,0.01,0.0,0.0,False
10,4,4136,2088,"1-3,5-7",0.0,0.26,0.03,0.03,0.0,0.02,0.0,0.0,False
15,12,1992,2600,"1-3,5-7",0.0,0.24,0.03,0.03,0.0,0.02,0.0,0.0,False
11,6,2472,712,"1-3,5-7",0.0,0.21,0.03,0.03,0.0,0.01,0.0,0.0,False
